"attage","sex","smoker","exposure","actual_dths","expected_dths","actual_mort","expected_mort"
68,"F","U",1446.4672,14,16.67639,0.00967875386320547,0.0115290481526301
68,"M","N",3564.7811,33,43.07697,0.00925723040890225,0.0120840435335567
68,"M","S",1057.9867,18,24.8989,0.0170134463883147,0.0235342277932227
68,"M","U",3269.8765,50,54.93816,0.0152910973854823,0.0168012950947842
68,"U","N",107.3533,1,1.10928,0.00931503735795732,0.0103329846404349
68,"U","S",25.5108,0,0.69915,0,0.0274060397949104
68,"U","U",80.1571,2,1.16742,0.0249510024689017,0.0145641496511226
69,"F","N",1880.4523,7,17.61162,0.00372250867517352,0.00936562974769421
69,"F","S",509.6333,8,9.95258,0.0156975613642201,0.0195289044102887
69,"F","U",1514.7483,12,19.13591,0.00792210824729099,0.0126330625358682
69,"M","N",3324.2683,41,43.81,0.0123335411885978,0.0131788399871334
69,"M","S",980.5786,15,25.45905,0.0152970909216253,0.0259632935085469
69,"M","U",3208.9873,33,57.78265,0.0102836181370989,0.0180065062893829
69,"U","N",89.575,1,1.14542,0.0111638291934133,0.0127872732347195
69,"U","S",30.1104,0,0.73664,0,0.0244646368032308
69,"U","U",100.9885,0,1.74816,0,0.0173104858473985
70,"F","N",1701.246,8,17.65307,0.00470243574415458,0.0103765534202579
70,"F","S",467.2984,4,9.73048,0.00855984099239373,0.0208228403949168
70,"F","U",1459.5343,15,20.02709,0.010277250764165,0.0137215617337667
70,"M","N",3179.7081,29,45.80164,0.00912033403317745,0.0144043536574945
70,"M","S",869.0806,17,23.89944,0.0195609014860072,0.0274996818476905
70,"M","U",3228.2689,55,64.03674,0.0170369946567958,0.0198362472221567
70,"U","N",95.771,0,1.21552,0,0.0126919422372117
70,"U","S",24.1719,1,0.61341,0.0413703515238769,0.0253769873282613
70,"U","U",97.3437,0,1.80057,0,0.0184970367882051
71,"F","N",1634.5451,16,18.9233,0.0097886561833014,0.0115771048470917
71,"F","S",421.0978,6,9.7541,0.0142484714952203,0.0231635026352548
71,"F","U",1426.5321,15,21.36977,0.010515010492929,0.0149802237187652
71,"M","N",2815.9124,28,45.84873,0.00994349113985222,0.0162820157331599
71,"M","S",895.0863,22,27.27229,0.0245786356019526,0.0304688944518534
71,"M","U",3214.9431,48,69.7818,0.0149302797925102,0.0217054541338539
71,"U","N",63.5867,0,0.84818,0,0.0133389529571436
71,"U","S",32.0008,0,0.94474,0,0.0295223869403265
71,"U","U",99.4693,2,2.05406,0.0201067062902825,0.0206501905613089
72,"F","N",1490.1631,11,18.09006,0.00738174230726824,0.0121396510220928
72,"F","S",405.287,8,10.33278,0.0197390984660253,0.0254949702309721
72,"F","U",1436.8163,19,23.32122,0.0132236807168738,0.0162311772214722
72,"M","N",2739.0853,33,49.68802,0.0120478175688797,0.0181403697066316
72,"M","S",824.6588,28,26.98056,0.0339534362575164,0.0327172401482892
72,"M","U",3307.8268,48,78.74658,0.0145110378814272,0.0238061376127674
72,"U","N",70.3156,0,1.10152,0,0.0156653715533964
72,"U","S",21.4022,1,0.60774,0.0467241685434208,0.0283961461905785
72,"U","U",108.9945,1,2.34303,0.00917477487396153,0.0214967727729381
73,"F","N",1405.8184,20,19.35105,0.014226588583561,0.0137649713504959
73,"F","S",398.804,6,10.50672,0.015044984503666,0.0263455732640595
73,"F","U",1369.8865,20,24.78992,0.0145997496872916,0.0180963313383992
73,"M","N",2564.238,29,51.6521,0.0113094026373527,0.0201432550332691
73,"M","S",829.4708,28,29.60753,0.0337564625541972,0.0356944813488311
73,"M","U",3345.5396,68,86.88324,0.0203255702009924,0.0259698734398481
73,"U","N",68.3383,0,1.18895,0,0.017398003754849
73,"U","S",23.3637,0,0.87111,0,0.0372847622594024
73,"U","U",74.3696,3,1.74686,0.0403390632731654,0.0234888986897872
74,"F","N",1302.2236,12,19.36738,0.00921500731517997,0.0148725456979892
74,"F","S",421.0398,7,12.7319,0.0166255066623155,0.0302391840391336
74,"F","U",1303.4601,26,25.52567,0.0199469090001297,0.0195830083329747
74,"M","N",2406.6607,30,54.16971,0.0124654048657544,0.0225082455536836
74,"M","S",794.3553,19,31.48748,0.0239187678360049,0.0396390380979393
74,"M","U",3182.7477,68,91.56796,0.0213651870677654,0.0287700969825538
74,"U","N",61.0501,3,1.28074,0.0491399686487,0.020978507815712
74,"U","S",21.2976,1,0.76682,0.0469536473593269,0.036004995868079
74,"U","U",71.4477,3,1.89992,0.0419887554113009,0.0265917587270129
75,"F","N",1219.9549,8,20.46155,0.00655761946609666,0.0167723823233138
75,"F","S",374.7689,11,11.66188,0.0293514216361069,0.0311175233590621
75,"F","U",1330.1709,18,28.1169,0.0135320957630332,0.0211378101866459
75,"M","N",2199.5894,47,55.40459,0.0213676243393426,0.0251886056552191
75,"M","S",853.1007,22,36.92987,0.0257882803284536,0.0432889927296977
75,"M","U",3135.6164,72,100.03958,0.0229619924171847,0.031904278852477
75,"U","N",53.6791,0,1.17465,0,0.0218828184526194
75,"U","S",25.5687,1,1.00715,0.0391103184753233,0.0393899572524219
75,"U","U",66.0664,3,1.89785,0.045408861387937,0.0287264025283654
76,"F","N",1176.1407,15,21.4064,0.012753576166525,0.0182005435234067
